Danh Mục Nhà Cung Cấp Giải Pháp Bidirectional Security Gateway,,,,,,,,
STT,Company,Country,Founded,Product Name,product_id,Product Category,Website,Short Description
1,infodas GmbH,Đức,1974,SDoT Security Gateway / SDoT Industry Gateway,sdot-security-gateway-sdot-industry-gateway,Cross Domain / Bidirectional Security Gateway,https://www.infodas.com,"Cung cấp cổng an toàn hai chiều đạt chứng nhận an ninh cấp độ quân sự, giúp kiểm soát và lọc dữ liệu giữa các vùng mạng có độ nhạy cảm khác nhau."
2,Owl Cyber Defense,Mỹ,1999,Owl ReCon / Owl Talon Bidirectional Gateway,owl-recon-owl-talon-bidirectional-gateway,Cross Domain & Bidirectional Gateway,https://owlcyberdefense.com,"Phát triển các giải pháp bảo vệ ranh giới mạng cứng hóa bằng phần cứng, hỗ trợ chuyển giao dữ liệu hai chiều có phân tích giao thức chuyên sâu."
3,Advenica AB,Thụy Điển,1993,ZoneGuard,zoneguard,Bidirectional Security Gateway,https://advenica.com,"Cung cấp cổng an toàn hai chiều dựa trên chính sách thông tin (information policy-based), đảm bảo lọc và kiểm tra dữ liệu giữa các miền an ninh."
4,Waterfall Security Solutions,Israel,2007,Waterfall Bidirectional Security Gateway,waterfall-bidirectional-security-gateway,OT/ICS Bidirectional Security Gateway,https://waterfall-security.com,"Cung cấp thiết bị cổng bảo mật hai chiều chuyên dụng cho hạ tầng OT/ICS, cho phép tích hợp dữ liệu IT/OT an toàn mà vẫn kiểm soát được luồng lệnh."
5,Nexor,Vương quốc Anh,1990,Nexor Guardian / Nexor GuarDiode,nexor-guardian-nexor-guardiode,Cross Domain & Bidirectional Gateway,https://www.nexor.com,Chuyên phát triển các giải pháp Cross Domain Solution (CDS) hai chiều với khả năng bóc tách giao thức và kiểm tra nội dung chuyên sâu.
6,OPSWAT,Mỹ,2002,MetaDefender Cross Domain Gateway,metadefender-cross-domain-gateway,Cross Domain Security Gateway,https://www.opswat.com,Cung cấp giải pháp cổng bảo mật chuyển giao tệp hai chiều tích hợp công nghệ làm sạch tệp (CDR) và quét đa phần mềm độc hại.
7,Lancs Networks,Việt Nam,2019,BSGW Secure Gateway,bsgw-secure-gateway,Bidirectional Security Gateway,https://lancsnet.com,Cung cấp cổng an toàn hai chiều chuyên dụng hỗ trợ truyền tải dữ liệu bảo mật giữa các phân vùng IT và OT.
8,Oakdoor (PA Consulting),Vương quốc Anh,2021,Oakdoor Gateway,oakdoor-gateway,Bidirectional Data Gateway,https://oakdoor.io,Phát triển phần cứng cổng an toàn hai chiều thế hệ mới nhằm thực thi luồng dữ liệu an toàn giữa các mạng cách ly.
9,Siemens AG,Đức,1847,SCALANCE S615,scalance-s615,Industrial Security Gateway,https://www.siemens.com,"Cung cấp cổng an toàn công nghiệp hỗ trợ VPN, Firewall, NAT và kiểm soát lưu lượng hai chiều giữa mạng nhà máy và mạng doanh nghiệp."
10,Fox-IT (NCC Group),Hà Lan,1999,Fox Data Diode & Cross Domain Gateway,fox-data-diode-cross-domain-gateway,High-Assurance Security Gateway,https://www.fox-it.com,Chuyên sản xuất các giải pháp bảo vệ ranh giới mạng an ninh cao và các thiết bị cổng bảo mật hai chiều đạt tiêu chuẩn chính phủ.
